## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Relaibility,32.000000,32.000000,Results,0.992032,0.007905,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.007968,0.007968
Dist,1.000000,0.992032,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Relaibility,280.000000,280.000000,Results,0.932162,0.063236,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.067838,0.067838
Dist,1.000000,0.932162,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Relaibility,1200.000000,1200.000000,Results,0.689355,0.214145,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.310645,0.310645
Dist,1.000000,0.689355,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Relaibility,2480.000000,2480.000000,Results,0.328987,0.220754,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.671013,0.671013
Dist,1.000000,0.328987,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Relaibility,5240.000000,5240.000000,Results,0.041526,0.039802,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.958474,0.958474
Dist,1.000000,0.041526,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Relaibility,10520.000000,10520.000000,Results,0.000753,0.000752,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.999247,0.999247
Dist,1.000000,0.000753,1.000000

